toplevelcustomerid,client_account_number,start_date,last_transaction_date,total_rev_monthly_avg,total_spend_monthly_avg,total_transactions_monthly_avg,churned,churn_prob,churn_prob_knn,churn_prob_rf
230873,AS60222385,2023-10-16,2024-02-13,3,61.0,1.0,0,0.0,0.4227602721024587,0.21630510695032004
230874,AS60222386,2023-10-16,2024-02-05,2,168.0,2.0,0,0.0,0.0,0.1564773171157343
230876,AS60222388,2023-10-16,2024-02-07,17,918.0,11.0,0,0.0,0.1846931064127484,0.18651746904340008
230878,AS60222390,2023-10-16,2024-02-26,18,1200.0,12.0,0,0.0,0.0,0.11594740375932645
230879,AS60222391,2023-10-16,2024-02-26,7,531.0,13.0,0,0.0,0.3862577054634362,0.15201406046318303
230880,AS60222392,2023-10-16,2023-12-29,3,118.0,2.0,0,1.0,1.0,0.45609357650716065
230881,AS60222393,2023-10-16,2024-02-26,8,693.0,9.0,0,0.0,0.0,0.1346839688095982
230882,AS60222394,2023-10-16,2024-02-27,6,403.0,4.0,0,0.0,0.0,0.13705455296033872
230883,AS60222395,2023-10-16,2024-03-12,21,324.0,6.0,0,0.0,0.0,0.08863808211881093
230884,AS60222396,2023-10-16,2023-10-30,97,186.0,5.0,1,1.0,1.0,0.9808576431050203
230885,AS60222397,2023-10-16,2024-03-12,2,183.0,2.0,0,0.0,0.0,0.10488920567468661
230886,AS60222398,2023-10-16,2023-12-30,8,20.0,1.0,0,1.0,0.8166583467511012,0.44467217579942697
230887,AS60222399,2023-10-16,2023-11-14,111,372.0,5.0,1,1.0,1.0,0.9668793011937549
230889,AS60222401,2023-10-16,2023-12-08,7,174.0,3.0,1,1.0,1.0,0.9583034438513768
230891,AS60222403,2023-10-16,2024-03-12,7,602.0,7.0,0,0.0,0.0,0.09215859888537492
230892,AS60222404,2023-10-16,2024-02-27,47,3376.0,37.0,0,0.0,0.0,0.1072714715611707
230894,AS60222406,2023-10-16,2024-03-11,2,191.0,2.0,0,0.0,0.0,0.10104786535924097
230895,AS60222407,2023-10-16,2024-02-26,16,578.0,7.0,0,0.0,0.0,0.15780261518930233
230896,AS60222408,2023-10-16,2024-02-26,4,201.0,2.0,0,0.0,0.0,0.13079789517669477
230897,AS60222409,2023-10-16,2024-02-14,1,81.0,1.0,0,0.0,0.0,0.14265073740255968
230898,AS60222410,2023-10-16,2024-02-27,2,54.0,2.0,0,0.0,0.0,0.13349825683232805
230899,AS60222411,2023-10-16,2024-02-26,3,154.0,3.0,0,0.0,0.0,0.1407761570171647
230900,AS60222412,2023-10-16,2024-02-27,50,3075.0,35.0,0,0.0,0.0,0.1122557367419022
230901,AS60222413,2023-10-16,2023-11-09,21,276.0,3.0,1,1.0,0.6294449934562707,0.8772738269176895
230902,AS60222414,2023-10-16,2024-02-20,7,675.0,9.0,0,0.0,0.0,0.12825372869987314
230903,AS60222415,2023-10-16,2024-02-28,14,279.0,3.0,0,0.0,0.0,0.10788760295993782
230906,AS60222418,2023-10-16,2024-03-12,26,1778.0,25.0,0,0.0,0.0,0.08845968532962571
230911,AS60222423,2023-10-16,2024-03-07,13,474.0,7.0,0,0.0,0.0,0.0725074491059716
230912,AS60222424,2023-10-16,2023-11-14,52,84.0,2.0,1,1.0,1.0,0.9688708181583148
230913,AS60222425,2023-10-16,2024-03-11,12,1085.0,12.0,0,0.0,0.0,0.08085537408880217
230915,AS60222427,2023-10-17,2024-02-11,7,588.0,8.0,0,0.0,0.0,0.1543592825519064
230916,AS60222428,2023-10-17,2024-02-04,0,238.0,5.0,0,0.0,0.0,0.15935875911853628
230917,AS60222429,2023-10-17,2024-03-12,94,5801.0,65.0,0,0.0,0.0,0.045085181724988925
230918,AS60222430,2023-10-17,2023-11-08,57,626.0,9.0,1,1.0,1.0,0.9661236723025338
230919,AS60222431,2023-10-17,2024-01-16,7,75.0,4.0,0,0.0,0.0,0.2498822447615127
230920,AS60222432,2023-10-17,2024-02-27,10,222.0,4.0,0,0.0,0.0,0.10913820926947626
230921,AS60222433,2023-10-17,2024-02-13,9,712.0,12.0,0,0.0,0.0,0.1592279421507466
230923,AS60222435,2023-10-17,2024-02-24,2,78.0,1.0,0,0.0,0.0,0.11620328559406498
230924,AS60222436,2023-10-17,2023-12-22,741,49668.0,219.0,0,0.0,0.7571364596644804,0.3999149190315178
230925,AS60222437,2023-10-17,2023-11-07,2,157.0,2.0,1,1.0,1.0,0.954182521251309
230926,AS60222438,2023-10-17,2023-12-15,9,716.0,14.0,1,1.0,1.0,0.9456610379022887
230928,AS60222440,2023-10-17,2024-02-27,14,688.0,33.0,0,0.0,0.0,0.11983431422228538
230929,AS60222441,2023-10-17,2023-11-01,98,325.0,5.0,1,1.0,0.814993104975293,0.9578881494562245
230930,AS60222442,2023-10-17,2023-12-17,9,272.0,3.0,1,1.0,1.0,0.79781000897363
230931,AS60222443,2023-10-17,2023-10-29,106,713.0,7.0,1,1.0,0.870907397108655,0.9479344229567872
230934,AS60222446,2023-10-17,2024-03-05,0,52.0,1.0,0,0.0,0.0,0.0875565321692866
230935,AS60222447,2023-10-17,2023-11-22,4,46.0,0.0,1,1.0,1.0,0.928945238591437
230936,AS60222448,2023-10-17,2024-02-25,23,1181.0,7.0,0,0.0,0.0,0.07386171542199416
230937,AS60222449,2023-10-17,2024-02-07,1,47.0,1.0,0,0.0,0.0,0.14853052767275388
230938,AS60222450,2023-10-17,2024-02-22,10,495.0,9.0,0,0.0,0.0,0.11255060077983228
230939,AS60222451,2023-10-17,2024-02-22,5,175.0,17.0,0,0.0,0.0,0.18388399638903324
230940,AS60222452,2023-10-17,2023-11-27,1,37.0,0.0,1,1.0,1.0,0.9586130422960921
230941,AS60222453,2023-10-17,2024-03-10,26,1497.0,16.0,0,0.0,0.6169591660712818,0.15630290994267293
230942,AS60222454,2023-10-17,2024-02-23,9,760.0,10.0,0,0.0,0.0,0.15316602215445216
230943,AS60222455,2023-10-17,2024-02-25,5,181.0,3.0,0,0.0,0.0,0.13720036882198008
230945,AS60222457,2023-10-17,2024-01-26,4,17.0,5.0,0,0.0,0.7825291350410192,0.2657045880171782
230946,AS60222458,2023-10-17,2023-12-16,5,145.0,4.0,1,1.0,1.0,0.9294938395804964
230947,AS60222459,2023-10-17,2023-11-08,97,192.0,2.0,1,1.0,1.0,0.972695748513002
230949,AS60222461,2023-10-17,2024-02-27,27,1831.0,25.0,0,0.0,0.0,0.11292396926620339
230950,AS60222462,2023-10-17,2024-03-01,3,197.0,3.0,0,0.0,0.3681207477158481,0.12803120231796308
230951,AS60222463,2023-10-17,2024-03-12,18,1488.0,17.0,0,0.0,0.0,0.08495553222625135
230952,AS60222464,2023-10-17,2024-03-12,6,117.0,1.0,0,0.0,0.0,0.10767210533100323
230954,AS60222466,2023-10-17,2024-02-27,24,1842.0,24.0,0,0.0,0.0,0.1158296032832272
230955,AS60222467,2023-10-17,2024-03-12,9,554.0,8.0,0,0.0,0.0,0.079088880801994
230956,AS60222468,2023-10-17,2024-03-09,6,485.0,6.0,0,0.0,0.0,0.08382637084604798
230958,AS60222470,2023-10-17,2024-03-05,4,281.0,4.0,0,0.0,0.0,0.09265999065678873
230959,AS60222471,2023-10-17,2023-12-07,37,384.0,5.0,1,1.0,1.0,0.9480101068607774
230960,AS60222472,2023-10-17,2024-03-12,29,2022.0,28.0,0,0.0,0.0,0.10113973724737144
230964,AS60222476,2023-10-18,2024-03-10,25,718.0,11.0,0,0.0,0.3929110367738568,0.11553505256866714
230965,AS60222477,2023-10-18,2023-11-17,51,182.0,2.0,1,1.0,0.8119262690243633,0.9805000325570398
230966,AS60222478,2023-10-18,2023-11-02,115,824.0,10.0,1,1.0,1.0,0.9499471535267636
230967,AS60222479,2023-10-18,2024-02-28,32,1143.0,9.0,0,0.0,0.0,0.14307782179750222
230968,AS60222480,2023-10-18,2024-03-04,3,84.0,2.0,0,0.0,0.0,0.11131015143425321
230969,AS60222481,2023-10-18,2024-03-07,4,257.0,5.0,0,0.0,0.0720898125915594,0.08171972606145839
230970,AS60222482,2023-10-18,2024-02-26,21,1801.0,24.0,0,0.0,0.0,0.11700509076510197
230971,AS60222483,2023-10-18,2024-03-04,5,119.0,2.0,0,0.0,0.0,0.1462121948534402
230972,AS60222484,2023-10-18,2024-03-12,131,4045.0,92.0,0,0.0,0.0,0.04834624617459097
230974,AS60222486,2023-10-18,2024-02-28,36,433.0,27.0,0,0.0,0.0,0.09197995518104382
230975,AS60222487,2023-10-18,2023-11-29,78,919.0,16.0,1,1.0,1.0,0.9459712582317588
230976,AS60222488,2023-10-18,2024-02-27,10,322.0,4.0,0,0.0,0.0,0.13617220112078596
230977,AS60222489,2023-10-18,2024-02-27,46,3563.0,54.0,0,0.0,0.0,0.14517925034825907
230979,AS60222491,2023-10-18,2024-02-26,3,234.0,4.0,0,0.0,0.0,0.1429591890504366
230980,AS60222492,2023-10-18,2024-02-15,5,113.0,2.0,0,0.0,0.0,0.10103029806757337
230981,AS60222493,2023-10-18,2024-02-25,9,517.0,9.0,0,0.0,0.0,0.10106183450265466
230983,AS60222495,2023-10-18,2023-12-11,47,1198.0,5.0,1,1.0,1.0,0.9326557322527285
230984,AS60222496,2023-10-18,2024-02-27,129,5141.0,62.0,0,0.0,0.0,0.13977453946163748
230985,AS60222497,2023-10-18,2024-02-23,28,1820.0,19.0,0,0.0,0.0,0.12131240596682664
230986,AS60222498,2023-10-18,2024-03-12,3,241.0,5.0,0,0.0,0.338596317009336,0.08790889554232444
230987,AS60222499,2023-10-18,2024-02-21,12,445.0,6.0,0,0.0,0.0,0.1425303885375668
230988,AS60222500,2023-10-18,2023-11-01,97,86.0,3.0,1,1.0,1.0,0.9705387509211614
230989,AS60222501,2023-10-18,2024-02-25,8,328.0,5.0,0,0.0,0.0,0.14461859879838204
230990,AS60222502,2023-10-18,2024-02-24,20,1617.0,19.0,0,0.0,0.0,0.11696095454572521
230991,AS60222503,2023-10-18,2023-11-14,1,50.0,0.0,1,1.0,1.0,0.9668248265109961
230992,AS60222504,2023-10-18,2023-11-19,8,186.0,2.0,1,1.0,1.0,0.9519904349948823
230993,AS60222505,2023-10-18,2024-02-03,1,130.0,4.0,0,0.0,0.0,0.14807433941006987
230994,AS60222506,2023-10-18,2024-02-27,3,196.0,3.0,0,0.0,0.0,0.11660051866174492
230995,AS60222507,2023-10-18,2024-03-12,62,2379.0,32.0,0,0.0,0.1826431527481198,0.0876779257296007
230996,AS60222508,2023-10-18,2024-02-26,21,1545.0,23.0,0,0.0,0.0,0.13504166686403754
230997,AS60222509,2023-10-18,2024-02-27,155,8650.0,48.0,0,0.0,0.0,0.15267981029611227
231002,AS60222514,2023-10-19,2024-03-11,1,89.0,2.0,0,0.0,0.0,0.09972812006160639
231004,AS60222516,2023-10-19,2024-02-27,4,333.0,4.0,0,0.0,0.0,0.13867549296207055
231005,AS60222517,2023-10-19,2024-03-09,23,419.0,5.0,0,0.0,0.0,0.11715063523027604
231006,AS60222518,2023-10-19,2023-12-23,54,592.0,13.0,0,1.0,0.8087709296069465,0.4581986553727513
231008,AS60222520,2023-10-19,2024-02-27,37,1092.0,13.0,0,0.0,0.0,0.1695168670319612
231009,AS60222521,2023-10-19,2024-02-26,37,2218.0,30.0,0,0.0,0.0,0.11186475117857093
231011,AS60222523,2023-10-19,2023-11-07,96,72.0,2.0,1,1.0,1.0,0.9777415397072862
231012,AS60222524,2023-10-19,2024-03-01,5,439.0,7.0,0,0.0,0.0,0.1222866381043263
231013,AS60222525,2023-10-19,2024-02-20,68,4199.0,50.0,0,0.0,0.0,0.16897583115113785
231014,AS60222526,2023-10-19,2024-03-08,4,296.0,7.0,0,0.0,0.0,0.09052347650621599
231017,AS60222529,2023-10-19,2024-03-08,1,95.0,3.0,0,0.0,0.0,0.08693608402403744
231019,AS60222531,2023-10-19,2024-02-27,12,604.0,8.0,0,0.0,0.0,0.08133836258823966
231020,AS60222532,2023-10-19,2024-02-26,7,401.0,10.0,0,0.0,0.0,0.0941270589905979
231021,AS60222533,2023-10-19,2024-02-18,22,1249.0,7.0,0,0.0,0.0,0.09032261083462599
231022,AS60222534,2023-10-19,2024-02-18,11,568.0,1.0,0,0.0,0.0,0.20665656391761267
231027,AS60222539,2023-10-19,2024-03-11,20,1611.0,22.0,0,0.0,0.0,0.10238089594952618
231028,AS60222540,2023-10-19,2023-11-16,57,534.0,8.0,1,1.0,1.0,0.9511636786228793
231030,AS60222542,2023-10-19,2024-03-02,2,139.0,3.0,0,0.0,0.0,0.15427227471874308
231032,AS60222544,2023-10-19,2024-03-12,13,846.0,12.0,0,0.0,0.0,0.053414498333421115
231033,AS60222545,2023-10-19,2023-11-07,48,61.0,2.0,1,1.0,1.0,0.9746807799675626
231034,AS60222546,2023-10-19,2024-02-29,5,163.0,2.0,0,0.0,0.0,0.16357832547306517
231035,AS60222547,2023-10-19,2024-03-11,2,90.0,1.0,0,0.0,0.0,0.12248867042423552
231036,AS60222548,2023-10-19,2024-03-06,3,177.0,2.0,0,0.0,0.0,0.10071296458089771
231037,AS60222549,2023-10-19,2023-11-28,100,365.0,6.0,1,1.0,1.0,0.9720020762600147
231038,AS60222550,2023-10-19,2024-03-07,5,382.0,5.0,0,0.0,0.0,0.09890670724191405
231039,AS60222551,2023-10-19,2024-03-06,1,51.0,2.0,0,0.0,0.0,0.1132037552669267
231041,AS60222553,2023-10-19,2024-03-12,32,2352.0,26.0,0,0.0,0.0,0.08372564024005892
231042,AS60222554,2023-10-19,2024-03-08,1,47.0,1.0,0,0.0,0.0,0.10147083221913913
231043,AS60222555,2023-10-19,2024-03-11,5,167.0,2.0,0,0.0,0.0,0.10391099373641258
231044,AS60222556,2023-10-19,2023-10-27,1,100.0,2.0,1,1.0,0.8378720212068588,0.9651669194542671
231045,AS60222557,2023-10-19,2024-03-09,4,333.0,4.0,0,0.0,0.0,0.10850979594494654
231046,AS60222558,2023-10-19,2024-02-26,9,619.0,8.0,0,0.0,0.0,0.12010173344852433
231047,AS60222559,2023-10-19,2024-02-14,0,56.0,2.0,0,0.0,0.0,0.14276422921647824
231048,AS60222560,2023-10-19,2024-03-08,19,1201.0,15.0,0,0.0,0.0,0.05014466976284925
231049,AS60222561,2023-10-19,2023-11-07,1,38.0,0.0,1,1.0,1.0,0.921822014586096
231050,AS60222562,2023-10-19,2024-03-10,1,104.0,1.0,0,0.0,0.0,0.10785295091297652
231052,AS60222564,2023-10-19,2023-12-15,35,210.0,4.0,1,1.0,1.0,0.9560527136835437
231060,AS60222572,2023-10-20,2024-02-27,24,987.0,13.0,0,0.0,0.0,0.15178535620270792
231061,AS60222573,2023-10-20,2024-03-12,5,320.0,4.0,0,0.0,0.0,0.10020801190408571
231062,AS60222574,2023-10-20,2024-03-12,15,927.0,15.0,0,0.0,0.0,0.09072509404572411
231063,AS60222575,2023-10-20,2023-11-05,48,65.0,2.0,1,1.0,1.0,0.980351936770684
231064,AS60222576,2023-10-20,2024-02-27,2,181.0,2.0,0,0.0,0.0,0.11967581451008158
231065,AS60222577,2023-10-20,2024-02-19,2,158.0,2.0,0,0.0,0.0,0.1395181915638759
231066,AS60222578,2023-10-20,2024-02-28,10,429.0,6.0,0,0.0,0.0,0.12417878771128343
231067,AS60222579,2023-10-20,2024-03-11,17,144.0,5.0,0,0.0,0.0,0.10247736878855399
231068,AS60222580,2023-10-20,2024-03-06,4,296.0,3.0,0,0.0,0.0,0.0981814985778092
231069,AS60222581,2023-10-20,2024-02-27,10,844.0,12.0,0,0.0,0.0,0.13025957917085496
231070,AS60222582,2023-10-20,2024-03-08,1,45.0,2.0,0,0.0,0.282722125138139,0.09814070947700179
231071,AS60222583,2023-10-20,2024-02-27,8,315.0,3.0,0,0.0,0.0,0.12831172215785294
231073,AS60222585,2023-10-20,2024-02-24,14,684.0,9.0,0,0.0,0.0,0.09177451832523709
231074,AS60222586,2023-10-20,2024-02-29,4,161.0,3.0,0,0.0,0.4796157869146311,0.17227592088022095
231075,AS60222587,2023-10-20,2024-03-08,8,303.0,7.0,0,0.0,0.1980684550189158,0.19698554882213162
231076,AS60222588,2023-10-20,2024-02-06,29,1513.0,18.0,0,0.0,0.0,0.10682201266056779
231077,AS60222589,2023-10-20,2024-03-12,67,4745.0,59.0,0,0.0,0.0,0.07208348575727534
231078,AS60222590,2023-10-20,2024-03-09,10,488.0,36.0,0,0.0,0.0,0.057626691019271835
231079,AS60222591,2023-10-20,2024-03-11,6,321.0,7.0,0,0.0,0.0,0.09063890772058213
231080,AS60222592,2023-10-20,2024-02-28,39,2191.0,34.0,0,0.0,0.0,0.10747053039133458
231081,AS60222593,2023-10-20,2024-03-12,3,200.0,4.0,0,0.0,0.0,0.07442449939061145
231082,AS60222594,2023-10-20,2023-11-21,6,537.0,3.0,1,1.0,1.0,0.9339745441991237
231084,AS60222596,2023-10-20,2024-03-02,42,334.0,4.0,0,0.0,0.0,0.16327559612875558
231085,AS60222597,2023-10-20,2024-01-17,52,273.0,5.0,0,0.0,0.0,0.20610098755284842
231087,AS60222599,2023-10-20,2024-03-06,3,41.0,1.0,0,0.0,0.5777636448312402,0.1339421745401357
231088,AS60222600,2023-10-20,2024-03-10,5,373.0,5.0,0,0.0,0.0,0.10485724495278512
231089,AS60222601,2023-10-20,2024-03-03,4,137.0,2.0,0,0.0,0.0,0.12079225699037274
231090,AS60222602,2023-10-20,2023-12-06,36,331.0,6.0,1,1.0,1.0,0.9529117777987512
231091,AS60222603,2023-10-20,2024-02-26,6,554.0,10.0,0,0.0,0.0,0.11917671547780487
231093,AS60222605,2023-10-20,2024-02-20,990,58180.0,10.0,0,0.0,0.1641123740972487,0.18329701673368537
231094,AS60222606,2023-10-23,2023-11-09,2,185.0,2.0,1,1.0,1.0,0.9678683367586136
231095,AS60222607,2023-10-23,2024-01-10,4,56.0,1.0,0,0.0,0.0,0.18860447845571976
231096,AS60222608,2023-10-23,2023-12-20,0,33.0,1.0,0,1.0,1.0,0.4566085071347008
231097,AS60222609,2023-10-23,2024-03-12,5,412.0,10.0,0,0.0,0.0,0.09046279472088962
231098,AS60222610,2023-10-23,2024-02-28,54,650.0,49.0,0,0.0,0.3902118765304832,0.18394404417177243
231099,AS60222611,2023-10-23,2024-03-11,1,96.0,2.0,0,0.0,0.0,0.09692556247225965
231100,AS60222612,2023-10-23,2023-12-17,31,325.0,5.0,1,1.0,1.0,0.810589193124702
231101,AS60222613,2023-10-23,2024-03-04,0,12.0,0.0,0,0.0,0.0,0.13448755376830296
231102,AS60222614,2023-10-23,2024-02-07,1,84.0,1.0,0,0.0,0.0,0.17554189258910127
231103,AS60222615,2023-10-23,2024-02-07,1,59.0,2.0,0,0.0,0.0,0.15377877061197517
231105,AS60222617,2023-10-23,2024-03-11,4,301.0,7.0,0,0.0,0.2032780906366199,0.1098095523344289
231106,AS60222618,2023-10-23,2024-03-10,2,0.0,0.0,0,1.0,0.8063735155600762,0.3228587423408691
231107,AS60222619,2023-10-23,2024-02-19,1,58.0,2.0,0,0.0,0.0,0.12472500355296282
231108,AS60222620,2023-10-23,2023-11-09,1,106.0,2.0,1,1.0,1.0,0.9649714084462025
231109,AS60222621,2023-10-23,2024-02-26,21,1613.0,24.0,0,0.0,0.0,0.14501627622203217
231110,AS60222622,2023-10-23,2024-03-11,11,785.0,9.0,0,0.0,0.0,0.08102108748053065
231112,AS60222624,2023-10-23,2024-03-12,13,749.0,9.0,0,0.0,0.0,0.0913067732053822
231113,AS60222625,2023-10-23,2023-10-28,0,20.0,1.0,1,1.0,1.0,0.9659369537688461
231115,AS60222627,2023-10-23,2024-02-24,6,317.0,4.0,0,0.0,0.0,0.14886065598494752
231116,AS60222628,2023-10-23,2023-11-23,31,405.0,11.0,1,1.0,1.0,0.9464645716308808
231117,AS60222629,2023-10-23,2024-02-23,11,58.0,1.0,0,0.0,0.0,0.14219057916836236
231118,AS60222630,2023-10-23,2024-02-26,22,1154.0,0.0,0,0.0,0.1583554562257897,0.14765340620984194
231120,AS60222632,2023-10-23,2024-02-23,23,1684.0,21.0,0,0.0,0.0,0.12259945019046889
231121,AS60222633,2023-10-23,2024-01-26,5,222.0,2.0,0,0.0,0.5874749182024464,0.1812458239337938
231122,AS60222634,2023-10-23,2023-11-06,0,30.0,1.0,1,1.0,1.0,0.9630210522873647
231123,AS60222635,2023-10-23,2024-03-08,7,494.0,6.0,0,0.0,0.0,0.09986979107502807
231124,AS60222636,2023-10-23,2024-03-05,2,190.0,4.0,0,0.0,0.0,0.132649826798668
231125,AS60222637,2023-10-23,2024-01-10,1,110.0,2.0,0,0.0,0.0,0.16557243654212028
231126,AS60222638,2023-10-23,2024-03-10,3,232.0,4.0,0,0.0,0.0,0.10686779126956612
231127,AS60222639,2023-10-23,2024-02-24,4,327.0,3.0,0,0.0,0.0,0.12184431080535538
231128,AS60222640,2023-10-23,2024-03-11,6,358.0,4.0,0,0.0,0.0,0.08389952514200008
231130,AS60222642,2023-10-23,2023-11-22,48,92.0,3.0,1,1.0,1.0,0.9768211355888171
231131,AS60222643,2023-10-23,2024-02-26,3,283.0,8.0,0,0.0,0.0,0.14275112634944
231132,AS60222644,2023-10-23,2024-03-07,4,229.0,5.0,0,0.0,0.0,0.15020315334635082
231133,AS60222645,2023-10-23,2024-02-27,6,539.0,10.0,0,0.0,0.0,0.13153728219843872
231134,AS60222646,2023-10-23,2024-03-12,11,707.0,10.0,0,0.0,0.0757277284493398,0.08951237893780364
231135,AS60222647,2023-10-23,2024-03-12,3,180.0,4.0,0,0.0,0.0,0.1337257617414188
231136,AS60222648,2023-10-23,2023-11-16,3,208.0,2.0,1,1.0,0.402985129155789,0.9643756502687001
231137,AS60222649,2023-10-23,2023-11-04,107,697.0,7.0,1,1.0,0.8103387773806752,0.9633136037192483
231138,AS60222650,2023-10-23,2024-03-08,2,179.0,2.0,0,0.0,0.0,0.10564489510200188
231139,AS60222651,2023-10-23,2023-11-29,2,64.0,1.0,1,1.0,1.0,0.9587069916856379
231141,AS60222653,2023-10-23,2024-02-23,1,140.0,2.0,0,0.0,0.0,0.14247983323889424
231142,AS60222654,2023-10-23,2023-12-18,2,192.0,3.0,0,1.0,1.0,0.4787873950438709
231143,AS60222655,2023-10-23,2023-11-04,97,145.0,2.0,1,1.0,1.0,0.9801523572618062
231144,AS60222656,2023-10-23,2023-10-31,96,86.0,2.0,1,1.0,0.8044647507531281,0.9772122717993125
231145,AS60222657,2023-10-23,2023-11-18,96,64.0,2.0,1,1.0,1.0,0.9715434501458766
231147,AS60222659,2023-10-23,2024-01-24,89,5237.0,6.0,0,0.0,0.0,0.21379524276794495
231148,AS60222660,2023-10-24,2024-03-12,29,1078.0,13.0,0,0.0,0.0,0.11522273586892195
231150,AS60222662,2023-10-24,2024-03-11,7,488.0,4.0,0,0.0,0.0,0.07520566788599058
231151,AS60222663,2023-10-24,2024-03-12,24,621.0,8.0,0,0.0,0.0,0.09843674768940368
231152,AS60222664,2023-10-24,2024-03-11,22,168.0,4.0,0,0.0,0.0,0.12304187558882067
231153,AS60222665,2023-10-24,2024-03-09,7,207.0,3.0,0,0.0,0.0,0.13528735284934196
231154,AS60222666,2023-10-24,2024-03-09,0,8.0,0.0,0,0.0,0.0,0.11320931306794865
231155,AS60222667,2023-10-24,2024-02-29,1,91.0,2.0,0,0.0,0.0,0.12074935692306399
231156,AS60222668,2023-10-24,2024-03-11,8,542.0,8.0,0,0.0,0.0,0.08179421056796429
231157,AS60222669,2023-10-24,2024-02-29,5,347.0,4.0,0,0.0,0.0,0.16129830290575414
231158,AS60222670,2023-10-24,2023-11-15,145,162.0,4.0,1,1.0,0.3331549747336524,0.9790963674033294
231159,AS60222671,2023-10-24,2024-03-12,4,297.0,6.0,0,0.0,0.0,0.09552795097022393
231160,AS60222672,2023-10-24,2024-03-11,3,226.0,4.0,0,0.0,0.0,0.11867750422447886
231161,AS60222673,2023-10-24,2024-02-27,45,2570.0,36.0,0,0.0,0.0,0.11704497257326937
231162,AS60222674,2023-10-24,2023-12-13,33,129.0,1.0,1,1.0,0.9501103122077176,0.9557252419839306
231165,AS60222677,2023-10-24,2024-01-31,1,24.0,0.0,0,0.0,0.0,0.17387826253953398
231166,AS60222678,2023-10-24,2024-02-24,14,814.0,10.0,0,0.0,0.0,0.1724417340184753
231167,AS60222679,2023-10-24,2023-10-31,95,25.0,1.0,1,1.0,1.0,0.9760391966332684
231169,AS60222681,2023-10-24,2024-02-28,5,60.0,1.0,0,0.0,0.0,0.13984311523399423
231170,AS60222682,2023-10-24,2024-02-26,8,605.0,10.0,0,0.0,0.0,0.14729244201792352
231171,AS60222683,2023-10-24,2024-03-01,0,36.0,1.0,0,0.0,0.0,0.13845650293434245
231172,AS60222684,2023-10-24,2024-02-27,55,2395.0,17.0,0,0.0,0.0,0.1350574419306877
231176,AS60222688,2023-10-24,2023-11-23,4,363.0,4.0,1,1.0,0.3852613162976014,0.9539080387780287
231177,AS60222689,2023-10-24,2023-11-17,17,720.0,3.0,1,1.0,1.0,0.9083991382446575
231178,AS60222690,2023-10-24,2024-03-12,27,1408.0,63.0,0,0.0,0.0,0.05562395556926301
231179,AS60222691,2023-10-24,2024-02-28,15,1060.0,34.0,0,0.0,0.0,0.1233180519998097
