toplevelcustomerid,client_account_number,start_date,last_transaction_date,total_rev_monthly_avg,XGB_Preds,RNN_Preds
136650,AS60131444,2016-11-18,2024-03-12,27,37,63
136668,AS60131462,2016-11-21,2024-03-12,226,171,63
136697,AS60131491,2016-11-21,2024-03-11,133,106,63
136708,AS60131502,2016-11-21,2024-03-11,82,78,63
136712,AS60131506,2016-11-21,2024-03-12,85,78,63
136714,AS60131508,2016-11-21,2024-03-12,201,162,63
136716,AS60131510,2016-11-21,2024-03-14,466,331,63
136728,AS60131522,2016-11-22,2024-03-12,82,69,63
136751,AS60131545,2016-11-22,2024-03-12,207,155,63
136835,AS60131629,2016-11-24,2024-03-12,54,57,63
136880,AS60131674,2016-11-24,2024-03-14,41,46,63
136941,AS60131735,2016-11-25,2024-03-12,126,99,63
136966,AS60131760,2016-11-28,2024-03-12,158,130,63
136973,AS60131767,2016-11-28,2024-03-12,184,146,63
136989,AS60131783,2016-11-28,2024-03-12,63,76,63
137096,AS60131890,2016-11-30,2024-03-12,243,191,63
137129,AS60131923,2016-12-01,2024-03-11,75,67,63
137131,AS60131925,2016-12-01,2024-03-12,359,288,63
137173,AS60131967,2016-12-02,2024-03-12,72,75,63
137174,AS60131968,2016-12-02,2024-03-12,60,76,63
137184,AS60131978,2016-12-05,2024-03-12,126,94,63
137260,AS60132054,2016-12-07,2024-03-12,62,71,63
137265,AS60132059,2016-12-07,2024-03-12,120,97,63
137304,AS60132098,2016-12-08,2024-03-12,138,106,63
137313,AS60132107,2016-12-08,2024-03-09,7,27,63
137321,AS60132115,2016-12-09,2024-03-10,73,77,63
137369,AS60132163,2016-12-12,2024-03-11,4,24,63
137378,AS60132172,2016-12-12,2024-03-12,36,42,63
137424,AS60132218,2016-12-13,2024-03-12,104,90,63
137433,AS60132227,2016-12-13,2024-03-11,10,28,63
137436,AS60132230,2016-12-14,2024-03-12,68,68,63
137471,AS60132265,2016-12-14,2024-03-12,104,90,63
137483,AS60132277,2016-12-15,2024-03-12,28,40,63
137531,AS60132325,2016-12-16,2024-03-12,97,83,63
137540,AS60132334,2016-12-16,2024-03-11,50,56,63
137559,AS60132353,2016-12-19,2024-03-12,416,294,63
137600,AS60132394,2016-12-20,2024-03-12,57,63,63
137625,AS60132419,2016-12-20,2024-03-12,202,162,63
137684,AS60132478,2016-12-22,2024-03-12,166,129,63
137688,AS60132482,2016-12-22,2024-03-11,50,53,63
137719,AS60132513,2016-12-22,2024-03-12,145,111,63
137730,AS60132524,2016-12-23,2024-03-12,20,37,63
137732,AS60132526,2016-12-23,2024-03-12,31,39,63
137774,AS60132568,2016-12-29,2024-03-09,57,58,63
137784,AS60132578,2016-12-30,2024-03-12,20,35,63
137793,AS60132587,2016-12-30,2024-03-12,22,39,63
137853,AS60132647,2017-01-05,2024-03-12,324,225,63
137890,AS60132684,2017-01-05,2024-03-12,663,484,63
137907,AS60132701,2017-01-06,2024-03-11,76,69,63
137933,AS60132727,2017-01-06,2024-03-12,74,78,63
137939,AS60132733,2017-01-06,2024-03-12,39,39,63
137961,AS60132755,2017-01-09,2024-03-12,51,56,63
137965,AS60132759,2017-01-09,2024-03-12,214,162,63
137982,AS60132776,2017-01-10,2024-03-12,72,73,63
138009,AS60132803,2017-01-10,2024-03-12,178,148,63
138042,AS60132836,2017-01-11,2024-03-12,32,45,63
138051,AS60132845,2017-01-11,2024-03-13,145,112,63
138068,AS60132862,2017-01-11,2024-03-12,163,134,63
138110,AS60132904,2017-01-12,2024-03-12,533,340,63
138149,AS60132943,2017-01-13,2024-03-12,89,78,63
138157,AS60132951,2017-01-13,2024-03-12,32,44,63
138170,AS60132964,2017-01-13,2024-03-12,6,27,63
138213,AS60133007,2017-01-16,2024-03-14,163,125,63
138222,AS60133016,2017-01-16,2024-03-14,12,30,63
138244,AS60133038,2017-01-17,2024-03-11,21,37,63
138253,AS60133047,2017-01-17,2024-03-12,27,41,63
138309,AS60133103,2017-01-18,2024-03-11,148,118,63
138316,AS60133110,2017-01-18,2024-03-11,213,163,63
138375,AS60133169,2017-01-20,2024-03-12,155,132,63
138378,AS60133172,2017-01-20,2024-03-10,15,37,63
138403,AS60133197,2017-01-23,2024-03-11,23,39,63
138406,AS60133200,2017-01-23,2024-03-12,20,35,63
138415,AS60133209,2017-01-23,2024-03-12,75,70,63
138417,AS60133211,2017-01-23,2024-03-11,139,113,63
138426,AS60133220,2017-01-23,2024-03-12,41,41,63
138440,AS60133234,2017-01-24,2024-03-12,132,110,63
138456,AS60133250,2017-01-24,2024-03-12,74,70,63
138457,AS60133251,2017-01-24,2024-03-12,46,52,63
138470,AS60133264,2017-01-24,2024-03-12,59,59,63
138489,AS60133283,2017-01-24,2024-03-11,18,33,63
138530,AS60133324,2017-01-25,2024-03-12,73,71,63
138552,AS60133346,2017-01-25,2024-03-13,1553,1129,63
138566,AS60133360,2017-01-25,2024-03-11,166,128,63
138586,AS60133380,2017-01-26,2024-03-12,65,66,63
138602,AS60173179,2017-01-26,2024-03-13,17377,1587,63
138606,AS60174014,2017-01-26,2024-03-13,5777,1513,63
138629,AS60133423,2017-01-27,2024-03-11,13,31,63
138641,AS60133435,2017-01-27,2024-03-12,154,120,63
138648,AS60133442,2017-01-27,2024-03-12,551,384,63
138650,AS60133444,2017-01-27,2024-03-11,33,44,63
138653,AS60133447,2017-01-27,2024-03-10,27,45,63
138661,AS60133455,2017-01-27,2024-03-12,116,102,63
138672,AS60133466,2017-01-30,2024-03-12,333,225,63
138723,AS60133517,2017-01-31,2024-03-12,71,71,63
138729,AS60133523,2017-01-31,2024-03-12,6,31,63
138730,AS60133524,2017-01-31,2024-03-09,19,37,63
138744,AS60133538,2017-01-31,2024-03-12,37,46,63
138764,AS60133558,2017-01-31,2024-03-13,1622,704,63
138766,AS60133560,2017-01-31,2024-03-12,77,79,63
138779,AS60133573,2017-01-31,2024-03-11,40,63,63
138781,AS60133575,2017-01-31,2024-03-12,107,95,63
138784,AS60133578,2017-02-01,2024-03-12,183,138,63
138791,AS60133585,2017-02-01,2024-03-12,93,81,63
138829,AS60133623,2017-02-01,2024-03-12,108,91,63
138830,AS60133624,2017-02-01,2024-03-12,33,45,63
138894,AS60133688,2017-02-02,2024-03-11,3,25,63
138917,AS60133711,2017-02-03,2024-03-09,20,33,63
138961,AS60133755,2017-02-06,2024-03-12,116,103,63
138985,AS60133779,2017-02-06,2024-03-12,58,70,63
138991,AS60133785,2017-02-06,2024-03-11,72,57,63
139036,AS60133830,2017-02-07,2024-03-11,57,68,63
139039,AS60133833,2017-02-07,2024-03-12,144,114,63
139060,AS60133854,2017-02-08,2024-03-12,511,355,63
139070,AS60133864,2017-02-08,2024-03-12,205,149,63
139141,AS60133935,2017-02-09,2024-03-11,29,38,63
139155,AS60133949,2017-02-09,2024-03-12,155,86,63
139162,AS60133956,2017-02-09,2024-03-09,110,95,63
139171,AS60133965,2017-02-10,2024-03-11,42,48,63
139184,AS60133978,2017-02-10,2024-03-11,83,75,63
139198,AS60133992,2017-02-10,2024-03-12,575,353,63
139212,AS60134006,2017-02-10,2024-03-12,25,37,63
139220,AS60134014,2017-02-13,2024-03-12,139,112,63
139222,AS60134016,2017-02-13,2024-03-12,99,75,63
139225,AS60134019,2017-02-13,2024-03-12,99,86,63
139226,AS60134020,2017-02-13,2024-03-12,127,107,63
139228,AS60134022,2017-02-13,2024-03-10,84,79,63
139243,AS60134037,2017-02-13,2024-03-12,92,92,63
139253,AS60134047,2017-02-13,2024-03-11,17,33,63
139270,AS60134064,2017-02-14,2024-03-12,29,41,63
139276,AS60134070,2017-02-14,2024-03-12,18,33,63
139278,AS60134072,2017-02-14,2024-03-12,26,30,63
139301,AS60134095,2017-02-14,2024-03-10,151,112,63
139309,AS60134103,2017-02-14,2024-03-09,10,29,63
139351,AS60134145,2017-02-15,2024-03-12,330,399,63
139357,AS60134150,2017-02-15,2024-03-11,71,70,63
139365,AS60134158,2017-02-16,2024-03-12,159,113,63
139373,AS60134166,2017-02-16,2024-03-12,97,85,63
139385,AS60134178,2017-02-16,2024-03-12,156,126,63
139391,AS60134184,2017-02-16,2024-03-12,147,121,63
139397,AS60134190,2017-02-16,2024-03-12,29,40,63
139409,AS60134202,2017-02-16,2024-03-11,82,75,63
139412,AS60134205,2017-02-16,2024-03-12,61,51,63
139419,AS60134212,2017-02-16,2024-03-12,92,83,63
139544,AS60134337,2017-02-21,2024-03-12,215,176,63
139545,AS60134338,2017-02-21,2024-03-12,12,29,63
139577,AS60134370,2017-02-22,2024-03-12,52,57,63
139590,AS60134383,2017-02-22,2024-03-10,19,37,63
139644,AS60134437,2017-02-23,2024-03-11,141,110,63
139650,AS60134443,2017-02-23,2024-03-12,70,51,63
139653,AS60134446,2017-02-23,2024-03-11,153,120,63
139657,AS60134450,2017-02-23,2024-03-12,355,262,63
139661,AS60134454,2017-02-24,2024-03-11,217,49,63
139676,AS60134469,2017-02-24,2024-03-10,908,1405,63
139803,AS60134596,2017-02-28,2024-03-12,393,288,63
139868,AS60134661,2017-03-01,2024-03-12,103,85,63
139878,AS60134671,2017-03-01,2024-03-12,875,503,63
139902,AS60134695,2017-03-02,2024-03-14,183,144,63
139908,AS60134701,2017-03-02,2024-03-12,397,318,63
139913,AS60134706,2017-03-02,2024-03-10,20,34,63
139960,AS60134753,2017-03-03,2024-03-09,7,26,63
139966,AS60134759,2017-03-03,2024-03-12,97,75,63
139973,AS60134766,2017-03-03,2024-03-11,34,45,63
139987,AS60134780,2017-03-03,2024-03-11,71,68,63
139989,AS60134782,2017-03-03,2024-03-12,162,129,63
140006,AS60134799,2017-03-04,2024-03-11,10,29,63
140008,AS60134801,2017-03-04,2024-03-14,150,118,63
140012,AS60134805,2017-03-04,2024-03-13,29,38,63
140017,AS60134810,2017-03-06,2024-03-12,110,99,63
140023,AS60134816,2017-03-06,2024-03-12,110,99,63
140038,AS60134831,2017-03-06,2024-03-11,67,70,63
140059,AS60134852,2017-03-06,2024-03-11,38,47,63
140094,AS60134887,2017-03-07,2024-03-13,55,67,63
140115,AS60134908,2017-03-07,2024-03-14,364,245,63
140117,AS60134910,2017-03-07,2024-03-12,126,103,63
140153,AS60134946,2017-03-08,2024-03-12,125,100,63
140217,AS60135010,2017-03-08,2024-03-12,478,398,63
140221,AS60135014,2017-03-09,2024-03-12,117,97,63
140250,AS60135043,2017-03-09,2024-03-11,39,51,63
140251,AS60135044,2017-03-09,2024-03-12,163,135,63
140255,AS60135048,2017-03-09,2024-03-12,785,480,63
140257,AS60135050,2017-03-09,2024-03-11,62,50,63
140267,AS60135060,2017-03-09,2024-03-12,54,55,63
140273,AS60135066,2017-03-09,2024-03-13,7,26,63
140283,AS60135076,2017-03-10,2024-03-12,151,117,63
140291,AS60135084,2017-03-10,2024-03-11,23,35,63
140306,AS60135099,2017-03-10,2024-03-12,110,91,63
140307,AS60135100,2017-03-10,2024-03-12,269,197,63
140331,AS60135124,2017-03-10,2024-03-11,47,53,63
140339,AS60135132,2017-03-11,2024-03-10,128,92,63
140342,AS60135135,2017-03-11,2024-03-12,81,72,63
140344,AS60135137,2017-03-11,2024-03-12,23,37,63
140354,AS60135147,2017-03-11,2024-03-11,382,267,63
140379,AS60135172,2017-03-13,2024-03-12,63,60,63
140380,AS60135173,2017-03-13,2024-03-14,119,101,63
140382,AS60135175,2017-03-13,2024-03-12,106,89,63
140392,AS60135185,2017-03-13,2024-03-12,304,218,63
140404,AS60135197,2017-03-14,2024-03-12,258,199,63
140486,AS60135279,2017-03-15,2024-03-11,108,91,63
140516,AS60135309,2017-03-15,2024-03-12,123,99,63
140533,AS60135326,2017-03-16,2024-03-12,40,48,63
140546,AS60135339,2017-03-16,2024-03-12,107,95,63
140548,AS60135341,2017-03-16,2024-03-12,151,120,63
140568,AS60135361,2017-03-16,2024-03-12,466,484,63
140571,AS60135364,2017-03-16,2024-03-12,157,122,63
140575,AS60135368,2017-03-16,2024-03-12,35,45,63
140577,AS60135370,2017-03-17,2024-03-12,54,60,63
140607,AS60135400,2017-03-17,2024-03-12,59,64,63
140617,AS60135410,2017-03-17,2024-03-12,41,52,63
140623,AS60135416,2017-03-20,2024-03-12,313,238,63
140626,AS60135419,2017-03-20,2024-03-11,36,47,63
140632,AS60135425,2017-03-20,2024-03-10,16,29,63
140633,AS60135426,2017-03-20,2024-03-12,77,74,63
140645,AS60135438,2017-03-20,2024-03-10,4,24,63
140656,AS60135449,2017-03-21,2024-03-12,243,198,63
140670,AS60135463,2017-03-21,2024-03-14,48,53,63
140687,AS60135480,2017-03-22,2024-03-14,210,158,63
140710,AS60135503,2017-03-22,2024-03-12,37,35,63
140764,AS60135557,2017-03-23,2024-03-11,46,48,63
140768,AS60135561,2017-03-23,2024-03-12,33,55,63
140791,AS60135584,2017-03-24,2024-03-12,34,45,63
140824,AS60135617,2017-03-24,2024-03-12,77,77,63
140829,AS60135622,2017-03-27,2024-03-11,29,40,63
140834,AS60135627,2017-03-27,2024-03-11,39,49,63
140837,AS60135630,2017-03-27,2024-03-12,93,81,63
140870,AS60135663,2017-03-27,2024-03-12,51,53,63
140909,AS60135702,2017-03-28,2024-03-09,25,40,63
140917,AS60135710,2017-03-28,2024-03-12,91,85,63
140920,AS60135713,2017-03-28,2024-03-12,12,30,63
140927,AS60135720,2017-03-29,2024-03-12,254,176,63
140941,AS60135734,2017-03-29,2024-03-12,154,117,63
140983,AS60135776,2017-03-30,2024-03-11,40,49,63
141013,AS60135806,2017-03-30,2024-03-11,430,306,63
141028,AS60135821,2017-03-30,2024-03-12,26,34,63
141071,AS60135864,2017-03-31,2024-03-12,141,115,63
141093,AS60135886,2017-04-03,2024-03-12,137,112,63
141100,AS60135893,2017-04-03,2024-03-11,29,41,63
141105,AS60135898,2017-04-03,2024-03-12,112,92,63
141119,AS60135912,2017-04-03,2024-03-12,504,345,63
141164,AS60135957,2017-04-04,2024-03-11,132,106,63
141169,AS60135962,2017-04-04,2024-03-11,38,49,63
141180,AS60135973,2017-04-05,2024-03-12,870,608,63
141182,AS60135975,2017-04-05,2024-03-12,184,148,63
141185,AS60135978,2017-04-05,2024-03-12,698,472,63
141194,AS60135987,2017-04-05,2024-03-12,1099,436,63
141208,AS60136001,2017-04-06,2024-03-12,170,128,63
141250,AS60136043,2017-04-06,2024-03-12,52,57,63
141253,AS60136046,2017-04-06,2024-03-12,110,90,63
141272,AS60136065,2017-04-07,2024-03-12,65,64,63
141297,AS60136090,2017-04-10,2024-03-12,32,44,63
141353,AS60136146,2017-04-11,2024-03-14,466,330,63
141356,AS60136149,2017-04-11,2024-03-12,50,53,63
141417,AS60136210,2017-04-12,2024-03-12,174,124,63
141423,AS60136216,2017-04-12,2024-03-11,19,39,63
141444,AS60136237,2017-04-13,2024-03-12,270,205,63
141464,AS60136257,2017-04-13,2024-03-11,248,191,63
141507,AS60136300,2017-04-18,2024-03-12,83,62,63
141510,AS60136303,2017-04-18,2024-03-12,12,30,63
141513,AS60136306,2017-04-18,2024-03-12,306,231,63
141528,AS60136321,2017-04-18,2024-03-09,35,43,63
141555,AS60136348,2017-04-19,2024-03-12,273,214,63
141591,AS60136384,2017-04-20,2024-03-12,199,158,63
141621,AS60136414,2017-04-21,2024-03-13,30,38,63
141634,AS60136427,2017-04-21,2024-03-12,34,45,63
141670,AS60136463,2017-04-24,2024-03-12,28,64,63
141686,AS60136479,2017-04-24,2024-03-12,189,146,63
141734,AS60136527,2017-04-25,2024-03-12,20,35,63
141755,AS60136548,2017-04-26,2024-03-12,98,85,63
141806,AS60136599,2017-04-27,2024-03-12,37,43,63
141818,AS60136611,2017-04-27,2024-03-11,85,75,63
141878,AS60136671,2017-05-02,2024-03-11,82,74,63
141922,AS60136715,2017-05-03,2024-03-12,59,61,63
141943,AS60136736,2017-05-04,2024-03-11,73,67,63
